fir_id,suspect_id,role
FIR-2025-00001,SUS-00041,Witness
FIR-2025-00002,SUS-00015,Accused
FIR-2025-00002,SUS-00006,Accused
FIR-2025-00002,SUS-00086,Accused
FIR-2025-00004,SUS-00119,Accused
FIR-2025-00004,SUS-00041,Accused
FIR-2025-00004,SUS-00095,Witness
FIR-2025-00005,SUS-00083,Accused
FIR-2025-00006,SUS-00057,Accused
FIR-2025-00007,SUS-00041,Accused
FIR-2025-00008,SUS-00116,Accused
FIR-2025-00008,SUS-00017,Accused
FIR-2025-00008,SUS-00015,Accused
FIR-2025-00010,SUS-00058,Accused
FIR-2025-00011,SUS-00025,Accused
FIR-2025-00012,SUS-00003,Witness
FIR-2025-00014,SUS-00051,Accused
FIR-2025-00014,SUS-00025,Accused
FIR-2025-00014,SUS-00063,Accused
FIR-2025-00015,SUS-00117,Accused
FIR-2025-00016,SUS-00055,Accused
FIR-2025-00017,SUS-00021,Accused
FIR-2025-00018,SUS-00028,Accused
FIR-2025-00019,SUS-00103,Accused
FIR-2025-00021,SUS-00107,Accused
FIR-2025-00021,SUS-00076,Accused
FIR-2025-00023,SUS-00048,Accused
FIR-2025-00024,SUS-00031,Accused
FIR-2025-00024,SUS-00074,Accused
FIR-2025-00025,SUS-00091,Accused
FIR-2025-00026,SUS-00034,Accused
FIR-2025-00026,SUS-00031,Accused
FIR-2025-00026,SUS-00020,Accused
FIR-2025-00028,SUS-00060,Accused
FIR-2025-00028,SUS-00102,Witness
FIR-2025-00030,SUS-00084,Accused
FIR-2025-00030,SUS-00086,Accused
FIR-2025-00031,SUS-00089,Accused
FIR-2025-00033,SUS-00047,Accused
FIR-2025-00033,SUS-00075,Accused
FIR-2025-00033,SUS-00062,Accused
FIR-2025-00034,SUS-00061,Accused
FIR-2025-00034,SUS-00089,Accused
FIR-2025-00035,SUS-00003,Accused
FIR-2025-00037,SUS-00086,Accused
FIR-2025-00037,SUS-00089,Accused
FIR-2025-00037,SUS-00054,Witness
FIR-2025-00038,SUS-00007,Accused
FIR-2025-00038,SUS-00068,Witness
FIR-2025-00039,SUS-00102,Accused
FIR-2025-00041,SUS-00106,Accused
FIR-2025-00042,SUS-00017,Accused
FIR-2025-00042,SUS-00048,Accused
FIR-2025-00043,SUS-00086,Accused
FIR-2025-00043,SUS-00067,Witness
FIR-2025-00044,SUS-00053,Accused
FIR-2025-00045,SUS-00086,Accused
FIR-2025-00045,SUS-00006,Accused
FIR-2025-00045,SUS-00102,Accused
FIR-2025-00046,SUS-00089,Accused
FIR-2025-00046,SUS-00107,Accused
FIR-2025-00047,SUS-00090,Accused
FIR-2025-00047,SUS-00097,Accused
FIR-2025-00048,SUS-00015,Accused
FIR-2025-00049,SUS-00040,Accused
FIR-2025-00049,SUS-00089,Accused
FIR-2025-00049,SUS-00047,Accused
