fir_id,victim_id,impact
FIR-2025-00001,VIC-00221,Financial loss
FIR-2025-00001,VIC-00286,Property damage
FIR-2025-00002,VIC-00202,Financial loss
FIR-2025-00003,VIC-00299,Financial loss
FIR-2025-00005,VIC-00089,Property damage
FIR-2025-00006,VIC-00268,Physical injury
FIR-2025-00006,VIC-00227,Physical injury
FIR-2025-00008,VIC-00263,Financial loss
FIR-2025-00009,VIC-00203,Emotional distress
FIR-2025-00010,VIC-00082,Emotional distress
FIR-2025-00011,VIC-00048,Physical injury
FIR-2025-00012,VIC-00315,Financial loss
FIR-2025-00014,VIC-00041,Emotional distress
FIR-2025-00016,VIC-00241,Property damage
FIR-2025-00017,VIC-00118,Emotional distress
FIR-2025-00018,VIC-00131,Property damage
FIR-2025-00019,VIC-00027,Emotional distress
FIR-2025-00023,VIC-00056,Financial loss
FIR-2025-00023,VIC-00249,Financial loss
FIR-2025-00025,VIC-00099,Physical injury
FIR-2025-00027,VIC-00114,Emotional distress
FIR-2025-00029,VIC-00225,Financial loss
FIR-2025-00030,VIC-00042,Financial loss
FIR-2025-00031,VIC-00206,Emotional distress
FIR-2025-00032,VIC-00250,Financial loss
FIR-2025-00033,VIC-00006,Physical injury
FIR-2025-00034,VIC-00018,Financial loss
FIR-2025-00035,VIC-00191,Emotional distress
FIR-2025-00035,VIC-00307,Financial loss
FIR-2025-00036,VIC-00144,Financial loss
FIR-2025-00037,VIC-00017,Financial loss
FIR-2025-00038,VIC-00088,Physical injury
FIR-2025-00039,VIC-00067,Financial loss
FIR-2025-00039,VIC-00019,Property damage
FIR-2025-00042,VIC-00075,Property damage
FIR-2025-00043,VIC-00120,Financial loss
FIR-2025-00044,VIC-00319,Emotional distress
FIR-2025-00045,VIC-00287,Property damage
FIR-2025-00046,VIC-00232,Property damage
FIR-2025-00047,VIC-00119,Emotional distress
FIR-2025-00048,VIC-00062,Property damage
FIR-2025-00048,VIC-00101,Financial loss
FIR-2025-00049,VIC-00288,Emotional distress
FIR-2025-00049,VIC-00264,Emotional distress
FIR-2025-00050,VIC-00163,Emotional distress
FIR-2025-00051,VIC-00228,Emotional distress
FIR-2025-00052,VIC-00209,Property damage
FIR-2025-00053,VIC-00038,Emotional distress
FIR-2025-00053,VIC-00104,Financial loss
FIR-2025-00054,VIC-00155,Property damage
FIR-2025-00054,VIC-00178,Property damage
FIR-2025-00055,VIC-00071,Property damage
FIR-2025-00056,VIC-00262,Financial loss
FIR-2025-00057,VIC-00046,Physical injury
FIR-2025-00058,VIC-00230,Financial loss
FIR-2025-00059,VIC-00078,Financial loss
FIR-2025-00060,VIC-00007,Physical injury
FIR-2025-00061,VIC-00198,Physical injury
FIR-2025-00062,VIC-00243,Emotional distress
FIR-2025-00063,VIC-00140,Financial loss
FIR-2025-00064,VIC-00050,Property damage
FIR-2025-00065,VIC-00277,Financial loss
FIR-2025-00066,VIC-00130,Financial loss
FIR-2025-00068,VIC-00030,Property damage
FIR-2025-00069,VIC-00084,Property damage
FIR-2025-00070,VIC-00110,Physical injury
FIR-2025-00071,VIC-00008,Property damage
FIR-2025-00073,VIC-00187,Property damage
FIR-2025-00074,VIC-00097,Property damage
FIR-2025-00074,VIC-00278,Financial loss
FIR-2025-00076,VIC-00175,Financial loss
FIR-2025-00077,VIC-00005,Financial loss
FIR-2025-00078,VIC-00276,Emotional distress
FIR-2025-00079,VIC-00096,Physical injury
FIR-2025-00080,VIC-00141,Financial loss
FIR-2025-00081,VIC-00112,Property damage
FIR-2025-00082,VIC-00139,Physical injury
FIR-2025-00083,VIC-00160,Emotional distress
FIR-2025-00084,VIC-00310,Financial loss
FIR-2025-00085,VIC-00320,Financial loss
FIR-2025-00090,VIC-00237,Property damage
FIR-2025-00091,VIC-00032,Physical injury
FIR-2025-00092,VIC-00281,Emotional distress
FIR-2025-00093,VIC-00186,Property damage
FIR-2025-00094,VIC-00302,Physical injury
FIR-2025-00094,VIC-00093,Physical injury
FIR-2025-00096,VIC-00028,Physical injury
FIR-2025-00096,VIC-00124,Physical injury
FIR-2025-00097,VIC-00063,Financial loss
FIR-2025-00098,VIC-00045,Financial loss
FIR-2025-00099,VIC-00057,Property damage
FIR-2025-00100,VIC-00242,Financial loss
FIR-2025-00101,VIC-00092,Physical injury
FIR-2025-00102,VIC-00109,Physical injury
FIR-2025-00103,VIC-00180,Financial loss
FIR-2025-00105,VIC-00260,Financial loss
FIR-2025-00106,VIC-00305,Financial loss
FIR-2025-00107,VIC-00271,Property damage
FIR-2025-00108,VIC-00029,Emotional distress
FIR-2025-00111,VIC-00303,Physical injury
FIR-2025-00112,VIC-00040,Emotional distress
FIR-2025-00113,VIC-00219,Property damage
FIR-2025-00114,VIC-00127,Emotional distress
FIR-2025-00115,VIC-00193,Physical injury
FIR-2025-00116,VIC-00087,Financial loss
FIR-2025-00116,VIC-00154,Financial loss
FIR-2025-00117,VIC-00199,Financial loss
FIR-2025-00117,VIC-00298,Property damage
FIR-2025-00118,VIC-00116,Emotional distress
FIR-2025-00119,VIC-00129,Financial loss
FIR-2025-00121,VIC-00291,Financial loss
FIR-2025-00121,VIC-00100,Financial loss
FIR-2025-00122,VIC-00074,Emotional distress
FIR-2025-00122,VIC-00012,Emotional distress
FIR-2025-00123,VIC-00183,Financial loss
FIR-2025-00124,VIC-00220,Financial loss
FIR-2025-00125,VIC-00090,Financial loss
FIR-2025-00126,VIC-00177,Property damage
FIR-2025-00128,VIC-00043,Financial loss
FIR-2025-00129,VIC-00297,Property damage
FIR-2025-00130,VIC-00080,Emotional distress
FIR-2025-00131,VIC-00126,Property damage
FIR-2025-00132,VIC-00049,Property damage
FIR-2025-00133,VIC-00052,Financial loss
FIR-2025-00135,VIC-00245,Emotional distress
FIR-2025-00135,VIC-00113,Financial loss
FIR-2025-00136,VIC-00134,Financial loss
FIR-2025-00137,VIC-00296,Property damage
FIR-2025-00137,VIC-00173,Property damage
FIR-2025-00139,VIC-00295,Emotional distress
FIR-2025-00140,VIC-00076,Financial loss
FIR-2025-00141,VIC-00142,Physical injury
FIR-2025-00142,VIC-00039,Financial loss
FIR-2025-00143,VIC-00309,Emotional distress
FIR-2025-00144,VIC-00304,Physical injury
FIR-2025-00145,VIC-00300,Financial loss
FIR-2025-00146,VIC-00159,Emotional distress
FIR-2025-00149,VIC-00161,Financial loss
FIR-2025-00150,VIC-00133,Property damage
FIR-2025-00151,VIC-00003,Emotional distress
FIR-2025-00152,VIC-00261,Financial loss
FIR-2025-00152,VIC-00224,Financial loss
FIR-2025-00153,VIC-00021,Financial loss
FIR-2025-00154,VIC-00149,Physical injury
FIR-2025-00155,VIC-00081,Financial loss
FIR-2025-00156,VIC-00053,Property damage
FIR-2025-00157,VIC-00169,Physical injury
FIR-2025-00158,VIC-00176,Property damage
FIR-2025-00159,VIC-00136,Emotional distress
FIR-2025-00160,VIC-00182,Emotional distress
FIR-2025-00161,VIC-00252,Property damage
FIR-2025-00163,VIC-00312,Financial loss
FIR-2025-00165,VIC-00117,Physical injury
FIR-2025-00166,VIC-00014,Physical injury
FIR-2025-00167,VIC-00216,Property damage
FIR-2025-00168,VIC-00047,Property damage
FIR-2025-00169,VIC-00197,Financial loss
FIR-2025-00169,VIC-00152,Property damage
FIR-2025-00170,VIC-00266,Financial loss
FIR-2025-00170,VIC-00148,Physical injury
FIR-2025-00171,VIC-00210,Physical injury
FIR-2025-00171,VIC-00156,Physical injury
FIR-2025-00172,VIC-00294,Emotional distress
FIR-2025-00173,VIC-00066,Physical injury
