suspect_id_a,suspect_id_b,relation_type,confidence
SUS-00066,SUS-00084,Gang,0.91
SUS-00066,SUS-00097,Gang,0.87
SUS-00066,SUS-00046,Gang,0.65
SUS-00066,SUS-00040,Gang,0.71
SUS-00066,SUS-00075,Gang,0.72
SUS-00084,SUS-00097,Gang,0.73
SUS-00084,SUS-00046,Gang,0.6
SUS-00084,SUS-00040,Gang,0.81
SUS-00084,SUS-00075,Gang,0.84
SUS-00097,SUS-00046,Gang,0.62
SUS-00097,SUS-00040,Gang,0.78
SUS-00097,SUS-00075,Gang,0.89
SUS-00046,SUS-00040,Gang,0.9
SUS-00046,SUS-00075,Gang,0.75
SUS-00040,SUS-00075,Gang,0.67
SUS-00082,SUS-00117,Gang,0.62
SUS-00082,SUS-00026,Gang,0.67
SUS-00082,SUS-00101,Gang,0.77
SUS-00117,SUS-00026,Gang,0.84
SUS-00117,SUS-00101,Gang,0.76
SUS-00026,SUS-00101,Gang,0.84
SUS-00079,SUS-00039,Gang,0.64
SUS-00079,SUS-00054,Gang,0.91
SUS-00079,SUS-00043,Gang,0.92
SUS-00079,SUS-00021,Gang,0.77
SUS-00039,SUS-00054,Gang,0.92
SUS-00039,SUS-00043,Gang,0.82
SUS-00039,SUS-00021,Gang,0.84
SUS-00054,SUS-00043,Gang,0.76
SUS-00054,SUS-00021,Gang,0.67
SUS-00043,SUS-00021,Gang,0.77
SUS-00104,SUS-00095,Gang,0.66
SUS-00104,SUS-00049,Gang,0.95
SUS-00104,SUS-00027,Gang,0.73
SUS-00104,SUS-00052,Gang,0.63
SUS-00095,SUS-00049,Gang,0.61
SUS-00095,SUS-00027,Gang,0.64
SUS-00095,SUS-00052,Gang,0.7
SUS-00049,SUS-00027,Gang,0.67
SUS-00049,SUS-00052,Gang,0.8
SUS-00027,SUS-00052,Gang,0.87
SUS-00004,SUS-00026,Gang,0.66
SUS-00004,SUS-00037,Gang,0.91
SUS-00026,SUS-00037,Gang,0.85
SUS-00109,SUS-00071,Gang,0.61
SUS-00109,SUS-00032,Gang,0.9
SUS-00109,SUS-00023,Gang,0.92
SUS-00109,SUS-00026,Gang,0.61
SUS-00071,SUS-00032,Gang,0.84
SUS-00071,SUS-00023,Gang,0.73
SUS-00071,SUS-00026,Gang,0.88
SUS-00032,SUS-00023,Gang,0.64
SUS-00032,SUS-00026,Gang,0.93
SUS-00023,SUS-00026,Gang,0.71
SUS-00031,SUS-00048,Associate,0.7
SUS-00068,SUS-00103,Co-accused,0.83
SUS-00113,SUS-00092,Family,0.37
SUS-00113,SUS-00119,Family,0.78
SUS-00025,SUS-00069,Associate,0.72
SUS-00041,SUS-00077,Associate,0.89
SUS-00032,SUS-00118,Family,0.76
SUS-00076,SUS-00025,Co-accused,0.48
SUS-00020,SUS-00042,Family,0.33
SUS-00102,SUS-00036,Family,0.81
SUS-00075,SUS-00114,Associate,0.43
SUS-00011,SUS-00101,Associate,0.77
SUS-00079,SUS-00009,Family,0.61
SUS-00097,SUS-00113,Co-accused,0.75
SUS-00048,SUS-00064,Co-accused,0.58
SUS-00042,SUS-00092,Associate,0.62
SUS-00062,SUS-00092,Associate,0.58
SUS-00075,SUS-00052,Co-accused,0.85
SUS-00075,SUS-00084,Family,0.42
SUS-00115,SUS-00026,Associate,0.82
SUS-00051,SUS-00028,Associate,0.56
SUS-00049,SUS-00074,Family,0.86
SUS-00048,SUS-00033,Co-accused,0.35
SUS-00097,SUS-00011,Associate,0.57
SUS-00046,SUS-00030,Co-accused,0.32
SUS-00066,SUS-00080,Associate,0.56
SUS-00060,SUS-00056,Associate,0.52
SUS-00064,SUS-00041,Associate,0.53
SUS-00023,SUS-00057,Family,0.46
SUS-00010,SUS-00046,Family,0.48
SUS-00065,SUS-00066,Co-accused,0.69
SUS-00101,SUS-00036,Family,0.36
SUS-00010,SUS-00047,Family,0.63
SUS-00043,SUS-00026,Co-accused,0.5
SUS-00039,SUS-00096,Co-accused,0.81
SUS-00025,SUS-00091,Co-accused,0.9
SUS-00110,SUS-00097,Co-accused,0.74
SUS-00117,SUS-00034,Family,0.76
SUS-00037,SUS-00106,Associate,0.77
SUS-00052,SUS-00106,Co-accused,0.75
SUS-00002,SUS-00061,Co-accused,0.61
SUS-00098,SUS-00020,Associate,0.44
SUS-00093,SUS-00096,Family,0.58
SUS-00067,SUS-00076,Co-accused,0.75
SUS-00093,SUS-00105,Associate,0.5
SUS-00011,SUS-00041,Family,0.56
SUS-00090,SUS-00054,Family,0.56
SUS-00110,SUS-00072,Family,0.52
SUS-00074,SUS-00112,Family,0.48
SUS-00095,SUS-00002,Associate,0.79
SUS-00107,SUS-00046,Associate,0.44
SUS-00055,SUS-00088,Associate,0.76
SUS-00089,SUS-00069,Associate,0.5
SUS-00003,SUS-00073,Family,0.85
SUS-00020,SUS-00043,Co-accused,0.68
SUS-00078,SUS-00117,Co-accused,0.64
SUS-00051,SUS-00049,Family,0.87
SUS-00009,SUS-00069,Associate,0.41
SUS-00014,SUS-00043,Co-accused,0.88
SUS-00082,SUS-00115,Associate,0.36
